sample_name,Nb_power_watts,Nb_angle_mm,Ta_power_watts,Ta_angle_mm,Ti_power_watts,Ti_angle_mm,Sb_power_watts,Sb_angle_mm,Fe_power_watts,Fe_angle_mm,V_power_watts,V_angle_mm,Ti_measured_percent,Fe_measured_percent,Ta_measured_percent,Nb_measured_percent,Sb_measured_percent,V_measured_percent,sum_percent
Nb_calibrant,50,6,0,6,0,6,0,6,0,6,0,6,0,0,0,100,0,0,100
Ta_calibrant,0,6,20,6,0,6,0,6,0,6,0,6,0,0,100,0,0,0,100
Ti_calibrant,0,6,0,6,60,6,0,6,0,6,0,6,100,0,0,0,0,0,100
Sb_calibrant,0,6,0,6,0,6,20,6,0,6,0,6,0,0,0,0,100,0,100
Fe_calibrant,0,6,0,6,0,6,0,6,100,6,0,6,0,100,0,0,0,0,100
V_calibrant,0,6,0,6,0,6,0,6,0,6,100,6,0,0,0,0,0,100,100
DJKNSJ008cal_4,31,6,14,6,75,6,30,6,43,6,0,6,10.03,29.98,12.59,15.86,32.54,0,101
DJKNSJ008cal_9,26,6,11,6,69,6,36,6,79,6,0,6,7.03,40.27,8.42,10.82,33.45,0,99.99
DJKNSJ008cal_2,27,6,12,6,71,6,27,6,68,6,0,6,8.72,41.02,10.48,12.8,26.98,0,100
DJKNSJ008cal_12,22,6,9,6,64,6,36,6,55,6,0,6,7.8291,34.0083,8.791833333,10.94296667,38.42773333,0,99.99993333
DJKNSJ008cal_10,25,6,8,6,60,6,35,6,70,6,0,6,7.1492,40.78163333,8.144,10.54596667,33.37926667,0,100.0000667
DJKNSJ001_6,32,6,15,6,71,6,30,6,40,6,0,6,9.9465,27.7439,14.3867,16.7594,31.1634,0,99.9999
DJKNSJ001_7,29,6,13,6,68,6,30,6,45,6,0,6,9.2212,30.3703,12.4093,15.1474,32.8518,0,100
DJKNSJ001_8,27,6,12,6,65,6,30,6,50,6,0,6,8.9608,33.6057,11.9625,14.5081,30.963,0,100.0001
DJKNSJ001_9,26,6,11,6,64,6,31,6,58,6,0,6,8.8778,24.1588,11.5453,16.3046,39.1135,0,100
DJKNSJ001_10,26,6,11,6,65,6,34,6,72,6,0,6,7.7108,41.863,5.4929,11.4681,33.4652,0,100
DJKNSJ002_1,27,6,12,6,63,6,35,6,41,6,0,6,8.5348,27.0325,11.597,14.2667,38.569,0,100
DJKNSJ002_2,27,6,13,6,64,6,33,6,46,6,0,6,8.5874,29.6058,12.2928,14.5082,35.0057,0,99.9999
DJKNSJ002_3,27,6,12,6,64,6,30,6,50,6,0,6,8.9247,32.0068,11.454,14.7012,32.9133,0,100
DJKNSJ002_4,27,6,12,6,64,6,28,6,55,6,0,6,9.509,33.3325,11.6242,15.0934,30.4408,0,99.9999
DJKNSJ003_6,35,6,17,6,74,6,27,6,57,6,0,6,8.0708,32.4181,14.9614,16.4569,28.0929,0,100.0001
DJKNSJ003_7,32,6,15,6,71,6,29,6,56,6,0,6,7.3657,33.3363,13.1649,14.6083,31.5249,0,100.0001
DJKNSJ003_8,28,6,12,6,65,6,30,6,52,6,0,6,6.3183,32.9494,11.4075,13.4883,35.8365,0,100
DJKNSJ003_9,26,6,11,6,64,6,33,6,54,6,0,6,5.9986,33.8135,9.2881,11.2552,39.6446,0,100
DJKNSJ003_10,24,6,10,6,62,6,36,6,55,6,0,6,5.5578,33.9801,8.5562,9.1287,42.7772,0,100
DJKNSJ011calib_6,0,6,30,6,59,6,27,6,46,6,0,6,8.3175,27.7206,33.2163,0,30.7456,0,100
DJKNSJ011calib_7,47,6,0,6,60,6,28,6,48,6,0,6,7.8532,26.3719,0,27.9256,37.8493,0,100
DJKNSJ011calib_8,26,6,15,6,62,6,30,6,53,6,0,6,7.9662,27.4054,16.2089,14.272,34.1476,0,100.0001
DJKNSJ014calib_1,0,6,40,6,57,6,31,6,39,6,0,6,6.3831,22.6026,43.6152,0,27.3992,0,100.0001
DJKNSJ014calib_2,65,6,38,6,62,6,42,6,48,6,0,6,6.824,23.5373,34.6804,0,34.9583,0,100
DJKNSJ014calib_3,53,6,32,6,70,6,55,6,75,6,0,6,5.0304,23.4118,19.081,17.0927,35.3841,0,100
DJKNSJ014calib_4,77,6,27,6,73,6,57,6,78,6,0,6,4.892,22.3126,15.02,23.386,34.3893,0,99.9999
DJKNSJ007cal_6,31,6,14,6,75,6,30,6,43,6,0,6,9.951,26,12.93,16.86,34.19,0,99.931
NSJ102calib,0,6,0,6,0,6,25,6,38,6,50,6,0,7.4937,0,0,83.411,9.0953,100
NSJ104calib,0,6,0,6,0,6,13,6,75,6,60,6,0,18.116,0,0,77.83,4.054,100
NSJ105calib,0,6,0,6,0,6,13,6,90,6,70,6,0,20.54690909,0,0,75.66918182,3.783727273,99.99981818
NSJ106calib,0,6,0,6,0,6,13,12,48,6,82,6,0,26.833,0,0,67.86445455,5.302363636,99.99981819
NSJ107calib,0,6,0,6,0,6,13,12,48,6,82,6,0,12.184,0,0,80.018,7.797,99.999
NSJ108calib,0,6,0,6,0,6,10,12,70,6,140,6,0,21.398,0,0,62.028,16.574,100
NSJ110calib,0,6,0,6,0,6,10,18,70,6,140,6,0,34.447,0,0,36.931,28.622,100
NSJ111calib,0,6,20,6,0,6,10,18,70,6,0,6,0,48.117,35.1168,16.7655,18.416,0,100
NSJ113calib,0,6,0,6,0,6,10,20,60,6,140,6,0,35.404,0,0,26.811,37.785,100
NSJ114calib,0,6,20,12,0,6,10,20,70,6,0,6,0,40.341,42.279,0,17.38,0,100
NSJ115calib,0,6,0,6,0,6,10,19,60,6,135,6,0,33.651,0,0,31.537,34.811,99.999
NSJ126calib,0,6,20,12,0,6,13,18,26,6,0,6,0,33.986,34.647,0,31.366,0,99.999
NSJ127calib,0,6,20,12,0,6,13,18,26,6,135,6,0,28.03146154,29.26569231,0,20.94846154,21.75430769,99.99992308
NSJ128calib2,0,6,20,12,0,6,13,18,26,6,135,6,0,40,12.5,0,13.5,34,100
NSJ129calib,0,6,40,8,0,6,13,18,26,6,135,6,0,36.59,40.844,0,9.98,12.582,99.996
NSJ130calib,0,6,20,6,0,6,13,18,40,8,135,6,0,21.71,52.79,0,13.98,12.31,100.79
NSJ131calib,0,6,40,6,0,6,13,18,40,12,135,6,0,37.81,42.56,0,7.59,12.04,100
NSJ133calib,0,6,0,6,0,6,10,6,28,6,109,6,0,34.64,0,0,57.83,7.53,100
NSJ137calib,100,6,0,6,0,6,10,19,60,6,0,6,0,74.73,0,17.49,7.77,0,99.99
NSJ141calib,50,6,20,18,0,6,20,9,75,6,70,6,0,26.324,1.228,7.115,61.595,3.84,100.102
NSJ142calib,150,6,10,9,0,6,15,15,75,6,110,6,0,27.718,8.981,30.411,24.848,8.042,100
NSJ144calib,0,6,10,9,0,6,40,6,75,6,50,6,0,57.64,1.52,0,28.13,12.52,99.81
NSJ148calib,0,6,26,14,0,6,7,6,92,6,80,6,0,58.8128,4.2311,0,27.7747,9.1669,99.9855
NSJ117calib,0,6,20,15,0,6,10,19,0,6,135,6,0,0,10.76,0,24.48,65.68,100.92
NSJ123calib,0,6,20,15,0,6,10,18,41,6,0,6,0,73.65,6.57,0,20.63,0,100.85
NSJ125calib,0,6,20,12,0,6,10,18,26,6,0,6,0,59.88,18.85,0,21.25,0,99.98
NSJ150calib,0,6,20,12,0,6,20,16,40,6,135,6,0,39.1444,5.3767,0,30.03,25.42,99.9711
NSJ149calib,0,6,20,14,0,6,20,6,40,6,135,6,0,25.29,3.2,0,55.14,16.33,99.96
NSJ151calib,0,6,20,12,0,6,15,16,40,6,100,6,0,29.815,18.63,0,39.271,12.276,99.992
NSJ152calib,0,6,20,12,0,6,13,16,40,6,90,6,0,31.726,19.9804,0,37.072,11.399,100.1774
NSJ154calib,0,6,20,9,0,6,20,12,40,6,135,6,0,12.36275,19.36575,0,55.90875,12.36275,100
