sample_name,Nb_power_watts,Nb_angle_mm,Ta_power_watts,Ta_angle_mm,Ti_power_watts,Ti_angle_mm,Sb_power_watts,Sb_angle_mm,Fe_power_watts,Fe_angle_mm,V_power_watts,V_angle_mm,Ti_measured_percent,Fe_measured_percent,Ta_measured_percent,Nb_measured_percent,Sb_measured_percent,V_measured_percent,sum_percent
DJKNSJ011calib_6,0,6,30,6,59,6,27,6,46,6,0,6,8.3175,27.7206,33.2163,0,30.7456,0,100
DJKNSJ011calib_7,47,6,0,6,60,6,28,6,48,6,0,6,7.8532,26.3719,0,27.9256,37.8493,0,100
DJKNSJ014calib_1,0,6,40,6,57,6,31,6,39,6,0,6,6.3831,22.6026,43.6152,0,27.3992,0,100.0001
DJKNSJ014calib_2,65,6,38,6,62,6,42,6,48,6,0,6,6.824,23.5373,34.6804,0,34.9583,0,100
NSJ111calib,0,6,20,6,0,6,10,18,70,6,0,6,0,48.117,35.1168,16.7655,18.416,0,100
NSJ148calib,0,6,26,14,0,6,7,6,92,6,80,6,0,58.8128,4.2311,0,27.7747,9.1669,99.9855
NSJ152calib,0,6,20,12,0,6,13,16,40,6,90,6,0,31.726,19.9804,0,37.072,11.399,100.1774
NSJ131calib,0,6,40,6,0,6,13,18,40,12,135,6,0,37.81,42.56,0,7.59,12.04,100
NSJ151calib,0,6,20,12,0,6,15,16,40,6,100,6,0,29.815,18.63,0,39.271,12.276,99.992
NSJ130calib,0,6,20,6,0,6,13,18,40,8,135,6,0,21.71,52.79,0,13.98,12.31,100.79
NSJ154calib,0,6,20,9,0,6,20,12,40,6,135,6,0,12.36275,19.36575,0,55.90875,12.36275,100
NSJ144calib,0,6,10,9,0,6,40,6,75,6,50,6,0,57.64,1.52,0,28.13,12.52,99.81
NSJ129calib,0,6,40,8,0,6,13,18,26,6,135,6,0,36.59,40.844,0,9.98,12.582,99.996
NSJ149calib,0,6,20,14,0,6,20,6,40,6,135,6,0,25.29,3.2,0,55.14,16.33,99.96
NSJ127calib,0,6,20,12,0,6,13,18,26,6,135,6,0,28.03146154,29.26569231,0,20.94846154,21.75430769,99.99992308
NSJ150calib,0,6,20,12,0,6,20,16,40,6,135,6,0,39.1444,5.3767,0,30.03,25.42,99.9711
NSJ128calib2,0,6,20,12,0,6,13,18,26,6,135,6,0,40,12.5,0,13.5,34,100
