sample_name,Nb_power_watts,Nb_angle_mm,Ta_power_watts,Ta_angle_mm,Ti_power_watts,Ti_angle_mm,Sb_power_watts,Sb_angle_mm,Fe_power_watts,Fe_angle_mm,V_power_watts,V_angle_mm,Ti_measured_percent,Fe_measured_percent,Ta_measured_percent,Nb_measured_percent,Sb_measured_percent,V_measured_percent,sum_percent
DJKNSJ008cal_4,31,6,14,6,75,6,30,6,43,6,0,6,10.03,29.98,12.59,15.86,32.54,0,101
DJKNSJ008cal_9,26,6,11,6,69,6,36,6,79,6,0,6,7.03,40.27,8.42,10.82,33.45,0,99.99
DJKNSJ008cal_2,27,6,12,6,71,6,27,6,68,6,0,6,8.72,41.02,10.48,12.8,26.98,0,100
DJKNSJ008cal_12,22,6,9,6,64,6,36,6,55,6,0,6,7.8291,34.0083,8.791833333,10.94296667,38.42773333,0,99.99993333
DJKNSJ008cal_10,25,6,8,6,60,6,35,6,70,6,0,6,7.1492,40.78163333,8.144,10.54596667,33.37926667,0,100.0000667
DJKNSJ001_6,32,6,15,6,71,6,30,6,40,6,0,6,9.9465,27.7439,14.3867,16.7594,31.1634,0,99.9999
DJKNSJ001_7,29,6,13,6,68,6,30,6,45,6,0,6,9.2212,30.3703,12.4093,15.1474,32.8518,0,100
DJKNSJ001_8,27,6,12,6,65,6,30,6,50,6,0,6,8.9608,33.6057,11.9625,14.5081,30.963,0,100.0001
DJKNSJ001_9,26,6,11,6,64,6,31,6,58,6,0,6,8.8778,24.1588,11.5453,16.3046,39.1135,0,100
DJKNSJ001_10,26,6,11,6,65,6,34,6,72,6,0,6,7.7108,41.863,5.4929,11.4681,33.4652,0,100
DJKNSJ002_1,27,6,12,6,63,6,35,6,41,6,0,6,8.5348,27.0325,11.597,14.2667,38.569,0,100
DJKNSJ002_2,27,6,13,6,64,6,33,6,46,6,0,6,8.5874,29.6058,12.2928,14.5082,35.0057,0,99.9999
DJKNSJ002_3,27,6,12,6,64,6,30,6,50,6,0,6,8.9247,32.0068,11.454,14.7012,32.9133,0,100
DJKNSJ002_4,27,6,12,6,64,6,28,6,55,6,0,6,9.509,33.3325,11.6242,15.0934,30.4408,0,99.9999
DJKNSJ003_6,35,6,17,6,74,6,27,6,57,6,0,6,8.0708,32.4181,14.9614,16.4569,28.0929,0,100.0001
DJKNSJ003_7,32,6,15,6,71,6,29,6,56,6,0,6,7.3657,33.3363,13.1649,14.6083,31.5249,0,100.0001
DJKNSJ003_8,28,6,12,6,65,6,30,6,52,6,0,6,6.3183,32.9494,11.4075,13.4883,35.8365,0,100
DJKNSJ003_9,26,6,11,6,64,6,33,6,54,6,0,6,5.9986,33.8135,9.2881,11.2552,39.6446,0,100
DJKNSJ003_10,24,6,10,6,62,6,36,6,55,6,0,6,5.5578,33.9801,8.5562,9.1287,42.7772,0,100
DJKNSJ011calib_8,26,6,15,6,62,6,30,6,53,6,0,6,7.9662,27.4054,16.2089,14.272,34.1476,0,100.0001
DJKNSJ014calib_3,53,6,32,6,70,6,55,6,75,6,0,6,5.0304,23.4118,19.081,17.0927,35.3841,0,100
DJKNSJ014calib_4,77,6,27,6,73,6,57,6,78,6,0,6,4.892,22.3126,15.02,23.386,34.3893,0,99.9999
DJKNSJ007cal_6,31,6,14,6,75,6,30,6,43,6,0,6,9.951,26,12.93,16.86,34.19,0,99.931
NSJ141calib,50,6,20,18,0,6,20,9,75,6,70,6,0,26.324,1.228,7.115,61.595,3.84,100.102
NSJ142calib,150,6,10,9,0,6,15,15,75,6,110,6,0,27.718,8.981,30.411,24.848,8.042,100
NSJ155calib,0,6,20,12,50,6,15,16,40,6,120,6,4.336,27.125,16.673,0,37.174,14.692,100
NSJ156calib,0,6,20,12,50,6,13,16,45,6,120,6,7.6075,42.0346,7.4615,0,20.1898,22.7066,100
NSJ159calib,0,6,20,12,50,6,13,16,45,6,120,6,4.883,32.943,20.796,0,26.078,15.3,100
NSJ160calib,0,6,20,12,50,6,12,16,45,6,120,6,4.904,32.877,21.35,0,25.255,15.666,100.052
